test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
LTU,fedavg,70,FIN|LVA-EST|TTF,3,5,0.001,,0.03338814093769769,0.026793101996410204,1.5230322510696603,1.2226664423665108
LTU,fedavg,71,FIN|LVA-EST|TTF,3,5,0.001,,0.03349973078168501,0.026865540426836653,1.5324249629416977,1.2275510635396543
LTU,fedavg,72,FIN|LVA-EST|TTF,3,5,0.001,,0.03360217633871538,0.026969202185212232,1.5234176604419762,1.2269787132431726
LTU,fedavg,73,FIN|LVA-EST|TTF,3,5,0.001,,0.03332615064262528,0.026724558035845083,1.519026626372519,1.219522470124837
LTU,fedavg,74,FIN|LVA-EST|TTF,3,5,0.001,,0.03333849212000633,0.026787778428115416,1.5177693099978917,1.2215018615198554
LTU,fedavg,75,FIN|LVA-EST|TTF,3,5,0.001,,0.033114493846120495,0.026706437099823357,1.506142271514806,1.2164113911369758
LTU,fedavg,76,FIN|LVA-EST|TTF,3,5,0.001,,0.03293343340869901,0.02660775159065138,1.4997576283952379,1.2128766667257098
LTU,fedavg,77,FIN|LVA-EST|TTF,3,5,0.001,,0.03399015549146766,0.027042823877027018,1.544553018585914,1.231384701659968
LTU,fedavg,78,FIN|LVA-EST|TTF,3,5,0.001,,0.0338324795566549,0.02673924467170105,1.5428558851546577,1.2206295124282107
LTU,fedavg,79,FIN|LVA-EST|TTF,3,5,0.001,,0.03419407460032219,0.026984170851235455,1.553219311762269,1.2287742875341714
LTU,fedavg,80,FIN|LVA-EST|TTF,3,5,0.001,,0.03453223454175604,0.027213226555463262,1.569270754344164,1.2389713768815174
LTU,fedavg,81,FIN|LVA-EST|TTF,3,5,0.001,,0.03420355395288056,0.02698738873130361,1.5460196054194522,1.225926376444513
LTU,fedavg,82,FIN|LVA-EST|TTF,3,5,0.001,,0.03392021826302314,0.026744369643485446,1.5474619694909864,1.2206944919392986
LTU,fedavg,83,FIN|LVA-EST|TTF,3,5,0.001,,0.03426051092492267,0.027045495359775015,1.5468632532399755,1.2268444279401483
LTU,fedavg,84,FIN|LVA-EST|TTF,3,5,0.001,,0.035291777625794385,0.027928255194575317,1.5999260477357646,1.2684854577368712
LTU,fedavg,85,FIN|LVA-EST|TTF,3,5,0.001,,0.03434781416420875,0.02713236065128826,1.5514846026685254,1.2319056987546646
LTU,fedavg,86,FIN|LVA-EST|TTF,3,5,0.001,,0.03378885091303991,0.026759973888993985,1.5336292873694095,1.2179083858995607
LTU,fedavg,87,FIN|LVA-EST|TTF,3,5,0.001,,0.034241025241586565,0.02723850932996921,1.551762523594498,1.2378848818920825
LTU,fedavg,88,FIN|LVA-EST|TTF,3,5,0.001,,0.03378829367360959,0.026662898636553516,1.5396869543013325,1.2165660014060051
LTU,fedavg,89,FIN|LVA-EST|TTF,3,5,0.001,,0.03368964205634585,0.026756427733775564,1.5340921328915866,1.2192178574882713
LTU,fedavg,90,FIN|LVA-EST|TTF,3,5,0.001,,0.03313029754385218,0.026326105353103323,1.5109901227556088,1.201097629857475
LTU,fedavg,91,FIN|LVA-EST|TTF,3,5,0.001,,0.03309756847152951,0.026210677104747195,1.509907507524099,1.1955295033249371
LTU,fedavg,92,FIN|LVA-EST|TTF,3,5,0.001,,0.03411365155677754,0.026886119476393074,1.5494717145663777,1.222514993699461
LTU,fedavg,93,FIN|LVA-EST|TTF,3,5,0.001,,0.033782016698317874,0.026955168374366498,1.5317999311546302,1.2235643276942203
