date,price,hub
2021-01-20,20.260000228881836,TTF
2021-01-21,20.065000534057617,TTF
2021-01-22,21.48500061035156,TTF
2021-01-25,20.15999984741211,TTF
2021-01-26,19.510000228881836,TTF
2021-01-27,19.700000762939453,TTF
2021-01-28,20.90999984741211,TTF
2021-01-29,19.81999969482422,TTF
2021-02-01,18.13999938964844,TTF
2021-02-02,18.25,TTF
2021-02-03,17.854999542236328,TTF
2021-02-04,18.1200008392334,TTF
2021-02-05,18.3799991607666,TTF
2021-02-08,20.18000030517578,TTF
2021-02-09,19.045000076293945,TTF
2021-02-10,18.559999465942383,TTF
2021-02-11,17.375,TTF
2021-02-12,17.6200008392334,TTF
2021-02-16,16.71500015258789,TTF
2021-02-17,16.540000915527344,TTF
2021-02-18,17.329999923706055,TTF
2021-02-19,16.55500030517578,TTF
2021-02-22,15.960000038146973,TTF
2021-02-23,16.25,TTF
2021-02-24,16.3799991607666,TTF
2021-02-25,15.9350004196167,TTF
2021-02-26,15.69499969482422,TTF
2021-03-01,16.079999923706055,TTF
2021-03-02,15.869999885559082,TTF
2021-03-03,15.524999618530272,TTF
2021-03-04,15.93000030517578,TTF
2021-03-05,16.364999771118164,TTF
2021-03-08,16.149999618530273,TTF
2021-03-09,16.924999237060547,TTF
2021-03-10,17.6299991607666,TTF
2021-03-11,18.125,TTF
2021-03-12,18.450000762939453,TTF
2021-03-15,17.93000030517578,TTF
2021-03-16,17.65999984741211,TTF
2021-03-17,17.969999313354492,TTF
2021-03-18,17.760000228881836,TTF
2021-03-19,17.264999389648438,TTF
2021-03-22,18.045000076293945,TTF
2021-03-23,18.38999938964844,TTF
2021-03-24,18.59000015258789,TTF
2021-03-25,18.364999771118164,TTF
2021-03-26,18.700000762939453,TTF
2021-03-29,18.44499969482422,TTF
2021-03-30,18.80500030517578,TTF
2021-03-31,18.9950008392334,TTF
2021-04-01,19.170000076293945,TTF
2021-04-05,19.170000076293945,TTF
2021-04-06,19.780000686645508,TTF
2021-04-07,19.28499984741211,TTF
2021-04-08,18.989999771118164,TTF
2021-04-09,18.940000534057617,TTF
2021-04-12,19.649999618530273,TTF
2021-04-13,19.510000228881836,TTF
2021-04-14,19.68000030517578,TTF
2021-04-15,20.260000228881836,TTF
2021-04-16,20.540000915527344,TTF
2021-04-19,20.940000534057617,TTF
2021-04-20,21.065000534057617,TTF
2021-04-21,21.11000061035156,TTF
2021-04-22,21.3700008392334,TTF
2021-04-23,20.045000076293945,TTF
2021-04-26,20.0,TTF
2021-04-27,21.405000686645508,TTF
2021-04-28,21.55500030517578,TTF
2021-04-29,22.5,TTF
2021-04-30,23.28499984741211,TTF
2021-05-03,23.815000534057617,TTF
2021-05-04,23.049999237060547,TTF
2021-05-05,23.959999084472656,TTF
2021-05-06,24.329999923706055,TTF
2021-05-07,23.940000534057617,TTF
2021-05-10,25.190000534057617,TTF
2021-05-11,25.80500030517578,TTF
2021-05-12,26.420000076293945,TTF
2021-05-13,26.25,TTF
2021-05-14,26.829999923706055,TTF
2021-05-17,26.309999465942383,TTF
2021-05-18,24.809999465942383,TTF
2021-05-19,22.665000915527344,TTF
2021-05-20,24.684999465942383,TTF
2021-05-21,24.795000076293945,TTF
2021-05-24,24.760000228881836,TTF
2021-05-25,26.190000534057617,TTF
2021-05-26,26.424999237060547,TTF
2021-05-27,25.200000762939453,TTF
2021-05-28,24.93000030517578,TTF
2021-06-01,25.975000381469727,TTF
2021-06-02,25.725000381469727,TTF
2021-06-03,25.704999923706055,TTF
